date,messages
6/12/2020,7820
6/13/2020,4596
6/14/2020,7388
6/15/2020,8061
6/16/2020,8525
6/17/2020,12136
6/18/2020,7012
6/19/2020,10353
6/20/2020,8226
6/21/2020,9228
6/22/2020,7342
6/23/2020,8408
6/24/2020,11695
6/25/2020,9506
6/26/2020,9644
6/27/2020,7981
6/28/2020,9067
6/29/2020,9713
6/30/2020,11175
7/1/2020,10018
7/2/2020,14131
7/3/2020,8858
7/4/2020,7078
7/5/2020,7194
7/6/2020,8851
7/7/2020,8307
7/8/2020,9468
7/9/2020,7347
7/10/2020,8766
7/11/2020,5606
7/12/2020,7664
7/13/2020,8067
7/14/2020,10618
7/15/2020,8406
7/16/2020,8819
7/17/2020,7334
7/18/2020,7313
7/19/2020,8250
7/20/2020,7569
7/21/2020,9050
7/22/2020,10131
7/23/2020,5326
7/24/2020,8669
7/25/2020,15629
7/26/2020,11038
7/27/2020,10882
7/28/2020,12889
7/29/2020,10072
7/30/2020,8304
7/31/2020,6301
8/1/2020,4626
8/2/2020,3989
8/3/2020,6935
8/4/2020,8563
8/5/2020,11892
8/6/2020,11802
8/7/2020,7712
8/8/2020,7703
8/9/2020,10777
8/10/2020,13646
8/11/2020,14616
8/12/2020,17663
8/13/2020,14232
8/14/2020,8121
8/15/2020,9122
8/16/2020,6724
8/17/2020,7029
8/18/2020,4733
8/19/2020,9608
8/20/2020,8920
8/21/2020,10827
8/22/2020,7941
8/23/2020,7906
8/24/2020,12608
8/25/2020,12706
8/26/2020,10215
8/27/2020,14961
8/28/2020,10427
8/29/2020,10890
8/30/2020,8984
8/31/2020,10599
9/1/2020,11998
9/2/2020,12909
9/3/2020,15337
9/4/2020,11640
9/5/2020,11854
9/6/2020,10695
9/7/2020,11418
9/8/2020,10174
9/9/2020,10937
9/10/2020,9584
9/11/2020,10390
9/12/2020,9662
9/13/2020,9779
9/14/2020,13226
9/15/2020,8994
9/16/2020,12827
9/17/2020,13932
9/18/2020,9890
9/19/2020,9961
9/20/2020,13002
9/21/2020,16387
9/22/2020,15213
9/23/2020,14775
9/24/2020,12015
9/25/2020,12624
9/26/2020,12810
9/27/2020,15294
9/28/2020,12724
9/29/2020,13628
9/30/2020,13684
10/1/2020,14066
10/2/2020,15653
10/3/2020,14113
10/4/2020,12289
10/5/2020,15509
10/6/2020,14889
10/7/2020,17509
10/8/2020,10132
10/9/2020,13388
10/10/2020,15749
10/11/2020,14707
10/12/2020,16193
10/13/2020,23864
10/14/2020,17864
10/15/2020,20299
10/16/2020,21375
10/17/2020,24223
10/18/2020,21708
10/19/2020,13356
10/20/2020,14081
10/21/2020,17441
10/22/2020,15427
10/23/2020,10439
10/24/2020,9153
10/25/2020,7519
10/26/2020,11485
10/27/2020,12433
10/28/2020,11279
10/29/2020,10389
10/30/2020,7443
10/31/2020,10393
11/1/2020,11131
11/2/2020,12939
11/3/2020,13182
11/4/2020,13382
11/5/2020,14948
11/6/2020,14058
11/7/2020,13777
11/8/2020,13009
11/9/2020,10963
11/10/2020,13797
11/11/2020,19812
11/12/2020,15199
11/13/2020,16137
11/14/2020,19823
11/15/2020,19826
11/16/2020,19976
11/17/2020,22393
11/18/2020,17111
11/19/2020,16714
11/20/2020,20369
11/21/2020,25806
11/22/2020,20017
11/23/2020,15970
11/24/2020,23505
11/25/2020,17153
11/26/2020,21109
11/27/2020,21427
11/28/2020,24673
11/29/2020,23747
11/30/2020,23211
12/1/2020,16856
12/2/2020,18792
12/3/2020,22196
12/4/2020,22822
12/5/2020,22039
12/6/2020,23355
12/7/2020,24739
12/8/2020,26342
12/9/2020,27869
12/10/2020,28183
12/11/2020,13609
12/12/2020,17662
12/13/2020,17411
12/14/2020,21712
12/15/2020,20198
12/16/2020,13956
12/17/2020,12883
12/18/2020,9062
12/19/2020,19267
12/20/2020,14061
12/21/2020,19870
12/22/2020,16915
12/23/2020,20138
12/24/2020,20740
12/25/2020,15417
12/26/2020,16188
12/27/2020,19405
12/28/2020,19891
12/29/2020,21387
12/30/2020,21759
12/31/2020,21904
1/1/2021,18802
1/2/2021,19784
1/3/2021,19060
1/4/2021,24322
1/5/2021,23288
1/6/2021,17766
1/7/2021,16970
1/8/2021,19359
1/9/2021,20715
1/10/2021,16874
1/11/2021,15927
1/12/2021,14172
1/13/2021,17279
1/14/2021,18066
1/15/2021,19715
1/16/2021,17629
1/17/2021,14389
1/18/2021,12540
1/19/2021,13498
1/20/2021,8572
1/21/2021,12150
1/22/2021,8760
1/23/2021,7496
